ncode,narou_title,match_score,is_matched,annict_id,annict_title,watchers_count,satisfaction_rate,reviews_count,episodes_count,season_year,season_name,media,fetched_at
N9464MF,生涯一度の「真実の愛」。代償を差し出してまで宣言されるなんてロマンチックですわね……え、ご存じない？,0.0,False,,,,,,,,,,2026-06-23
N6258MD,テンプレートが立ちはだかる日常,0.0,False,,,,,,,,,,2026-06-23
N0634MI,きっと後世では格好良く名前が付けられるだろう、妹に泣きつかれた兄の報復。,0.0,False,,,,,,,,,,2026-06-23
N3407MH,適切な距離を守れと言われて、婚約解消しました,0.0,False,,,,,,,,,,2026-06-23
N8755KR,【書籍化＆コミカライズ】双子の妹に殺された姉、二度目の人生は初恋のイケおじ王弟にフルベットします！,0.0,False,,,,,,,,,,2026-06-23
N0443MH,今世で勝ち組辺境男爵の俺、家族を守るため王位継承争いに殴り込む,0.0,False,,,,,,,,,,2026-06-23
N1748MF,この国で最も高貴なお嬢様による権力の使い方,0.0,False,,,,,,,,,,2026-06-23
N6594IU,王妃殿下は愚痴の聞き役,0.0,False,,,,,,,,,,2026-06-23
N8116MH,【短編】お前は誰だと婚約者は言った,0.0,False,,,,,,,,,,2026-06-23
N0530MG,『サポートキャラ？致しませんわ。』,0.0,False,,,,,,,,,,2026-06-23
N0928MI,お姉様は、私が殿下に愛されているのが許せないだけなのです,0.0,False,,,,,,,,,,2026-06-23
N6816MG,呪われてるのか？と王子は思った。,0.0,False,,,,,,,,,,2026-06-23
N3563MG,婚約破棄後のカーテシーを誰も見ない,0.0,False,,,,,,,,,,2026-06-23
N3364MF,婚約者がまた病弱な幼なじみのお見舞いへ行ったので、婚約式は私ひとりで終わらせました,0.0,False,,,,,,,,,,2026-06-23
N1969MA,王妃の決意,0.0,False,,,,,,,,,,2026-06-23
N4856MC,ないがしろにされ続けた“サレ令嬢”の復讐,0.0,False,,,,,,,,,,2026-06-23
N8143MF,ずっと補助聖女をやっていましたが、辺境ではしっかり守護します――王都神殿にはもう戻れません,0.0,False,,,,,,,,,,2026-06-23
N4891MH,貧乏令嬢はホワイトハッカー ～暗号解読で敵軍を丸裸にしたら冷徹辺境伯に囲い込まれました～,0.0,False,,,,,,,,,,2026-06-23
N3694MH,【6/11追記】国王の子である異父妹は伯爵家の娘である私のことを可哀想だと見下すけど、本当にそうかしら？,0.0,False,,,,,,,,,,2026-06-23
N9257MF,婚約者達が平民をちやほやするから私たちも見習ってみました,0.0,False,,,,,,,,,,2026-06-23
N5098MH,【サラ視点追加】私の真似ばかりする自称大親友に、最愛の人（笑）を盗られました,0.0,False,,,,,,,,,,2026-06-23
N8817IQ,【4/4コミカライズ開始】公爵家の長女でした,0.0,False,,,,,,,,,,2026-06-23
N9068MH,婚約者が幼馴染を優先した回数を数えていたら、五十回目で婚約が終わりました,0.0,False,,,,,,,,,,2026-06-23
N8367MF,家が続くならどちらでもいいそうなので、妹と元婚約者に任せて家を出ました,0.0,False,,,,,,,,,,2026-06-23
N1562MH,母の葬儀で涙を流さなかったので、家族に捨てられました？,0.0,False,,,,,,,,,,2026-06-23
N3625MG,【短編版】「君なら我慢できるだろう」と義妹を優先されたので、婚約を白紙にしました,0.0,False,,,,,,,,,,2026-06-23
N1290MI,婚約破棄ですか？ 残念ですが私、最初から殿下の婚約者ではありません ～勘違い逆ハーレムに付きまとわれた悪役令嬢は最強魔導士の妻でした～,0.0,False,,,,,,,,,,2026-06-23
N2354MI,ありがとう、お姉様。私、今幸せです。,0.0,False,,,,,,,,,,2026-06-23
N2271MF,鼻歌の令嬢は知らない、全ての至高が彼女を奪い合う戦場になることを,0.0,False,,,,,,,,,,2026-06-23
N3097ME,異世界で『サレ妻スレ』に参加したら、愛人の城が焼けて夫終了のお知らせ,0.0,False,,,,,,,,,,2026-06-23
N2573MH,五年前から、知っていた,0.0,False,,,,,,,,,,2026-06-23
N5346MF,龍の刺繍のハンカチを、あなたに。えっ、なんで婚約者を捨てる話に？,0.0,False,,,,,,,,,,2026-06-23
N0382MC,転生モブ令嬢の私がなぜか王太子殿下と婚約をすっ飛ばして結婚した,0.0,False,,,,,,,,,,2026-06-23
N0405MF,【書籍化進行中】陰気で卑屈な王子を全肯定し続けたら、愛が重すぎる超有能王太子に覚醒しました。,0.0,False,,,,,,,,,,2026-06-23
N6315LK,斯くして彼女は檻の中。,0.0,False,,,,,,,,,,2026-06-23
N0514MF,似たもの夫婦の幸せ,0.0,False,,,,,,,,,,2026-06-23
N2280MC,【完結】異母妹に『ずるい』と言われ全て奪われたので、より『ずるく』生きてみせます【5/29後日談追加】,0.0,False,,,,,,,,,,2026-06-23
N7141LJ,呪（まじな）いは真実の愛で。,0.0,False,,,,,,,,,,2026-06-23
N5502MF,妹と婚約者が相思相愛になったので,0.0,False,,,,,,,,,,2026-06-23
N2688MF,一〇分差デブ王子の勝因は何もしなかったから,0.0,False,,,,,,,,,,2026-06-23
N3678MG,【電子書籍化決定】『女の敵は女』だけとは限らない,0.0,False,,,,,,,,,,2026-06-23
N8455MF,可哀想な病弱令嬢を演じ続けた妹は、もう誰にも愛されない,0.0,False,,,,,,,,,,2026-06-23
N4417JO,婚約破棄したら速攻で婚約者の父親が出てきた件,0.0,False,,,,,,,,,,2026-06-23
N7770MH,「お前の代わりは居る」と私に言っていた婚約者の代わりが見つかりました,0.0,False,,,,,,,,,,2026-06-23
N1536JT,女なんてみんな同じだ、という主張からの円満婚約解消する方法,0.0,False,,,,,,,,,,2026-06-23
N7921MH,【お慕いしておりました】悪役令嬢は涙を流しながら微笑む　〜五年かけて仕込んだ復讐が今夜完成いたしますわ〜,0.0,False,,,,,,,,,,2026-06-23
N0647MD,テンプレートを繰り返す一族,0.0,False,,,,,,,,,,2026-06-23
N7474MH,飽き性姉と欲しがり妹,0.0,False,,,,,,,,,,2026-06-23
N5441MF,「お姉さま、婚約者さまを許してあげて」と妹が言う。浮気相手はお前なのだが。,0.0,False,,,,,,,,,,2026-06-23
N5601MI,善人ぶる婚約者が、いつも私だけを悪者に仕立て上げるので、もう我慢するのをやめました 【短編版】,0.0,False,,,,,,,,,,2026-06-23
N5754MG,お前なら分かってくれるだろうと言われたので,0.0,False,,,,,,,,,,2026-06-23
