ncode,title,author,genre,tags,is_anime,anime_id,monthly_rank_latest,bookmark_count_latest,updated_at,weekly_unique_latest,all_point_latest,all_hyoka_cnt_latest,episode_count_latest,story,impression_cnt_latest,review_cnt_latest,length,global_point_latest,daily_point_latest,weekly_point_latest,monthly_point_latest,general_lastup,novel_updated_at,biggenre,is_isekai_tensei,is_isekai_tenni,is_completed
N5536MI,お前の代わりはいくらでもいる、と言われたので、代わりを百人育てて辞めました,ペンギンの搾り汁,101,異世界転生 女主人公 ハッピーエンド 異世界恋愛 ヒューマンドラマ 文官 婚約解消 ざまぁ 有能主人公 職場ざまぁ 勘違い上司 仕事 追放ではないけど退職,False,,,185,2026-07-20,0.0,5626.0,682.0,1.0,"「君の代わりはいくらでもいるんだよ、リリア」

王宮文書局で働くリリアは、婚約者であり上司でもあるアルフォンスにそう言われた。

彼は知らない。

リリアが確認した書類ひとつで、北方砦の兵士たちに毛布が届いたことを。

彼女が通した申請ひとつで、孤児院の子どもたちが冬を越せたことを。

王宮の仕事が滞らないよう、誰にも見えない場所で支えていたのがリリアだったことを。

けれど、彼が言うのなら仕方ない。

代わりはいくらでもいるらしい。

ならば本当に、代わりを用意してから辞めよう。

リリアは半年かけて、新人文官、写本係、倉庫係、侍女、警備兵、使い走りの少年にまで仕事を教えた。

書類の読み方を。

数字の嘘を。

仕事の向こうに、人の暮らしがあることを。

そして百人を超える人材を育て上げた日、リリアは辞表と婚約解消の申立書を提出する。

「わたくしの代わりは用意いたしました。ですので、わたくしは辞めます」

これは、自分を軽んじた婚約者に何も期待しなくなった有能文官が、静かに職場を去り、残された者たちが彼女の価値を思い知る話。

※本作品は、一部制作プロセスにAI補助を使用しております。苦手な方はご注意ください。（詳しい使用状況に関しては、作品情報からご確認ください）",3.0,0.0,11390.0,5996.0,0.0,38.0,2280.0,,,1.0,1.0,0.0,0.0
N3942MF,「殿下を解放してください!」,井上さん,302,ＢＷＫ大賞１ BK小説大賞2 ギャグ 女主人公 ハッピーエンド,False,,,29,2026-07-13,0.0,3238.0,416.0,1.0,"婚約破棄だ!って言う時に、◯◯様を解放して!って浮気相手が言うの、何なんだろうなぁ?と思って書いてみました。


腕挫十字固（うでひしぎじゅうじがため）かもしれない

なんのこっちゃ",3.0,0.0,1076.0,3296.0,0.0,14.0,2712.0,,,3.0,0.0,0.0,0.0
N4425MI,わたくしの知らない方からの婚約破棄,録宮あまね,101,R15 残酷な描写あり 女主人公 一人称小説 精神病 婚約破棄 ざまぁ要素あり 元義母 幸せのかたち,False,,,203,2026-07-20,0.0,9912.0,1202.0,1.0,"侯爵令嬢であるシアラと伯爵令息であるリュール・ハワードは夜会で出会い、お互い惹かれ合い婚約した。
しかし突然、リュールはシアラに婚約破棄を告げる。他に想う女性ができたらしい。
シアラは特に驚かない。リュールの姿をしたその男性に違和感を覚えたからだ。
「あなたはどなた様でしょう？」シアラの問いに、リュールの姿をした男は逆に驚く。リュールとリュールの偽者(？)との間で、シアラの心は揺れる……？
＊誤字報告、ありがとうございます。",7.0,0.0,6412.0,10318.0,2.0,30.0,5296.0,,,1.0,0.0,0.0,0.0
N1496MI,カンタンテ公爵家に犬が来た,ジュレヌク,101,ほのぼの ダーク 西洋 ハッピーエンド,False,,,129,2026-07-13,0.0,3374.0,375.0,3.0,"『囲われサブリナは、今日も幸せ』に登場するカンタンテ公爵家に、一匹の犬が来た。
可愛くて、獰猛で、愛するご主人様に忠実な小型犬。
一体そのつぶらな目で見る世界は、どんなものなのだろう。",5.0,0.0,9918.0,3632.0,10.0,162.0,2894.0,,,1.0,0.0,0.0,0.0
N5835MB,転生少女は魔法の世界を『漢字』の力で生き抜きます,灰猫さんきち,306,残酷な描写あり 異世界転生 HJ大賞7 ＢＷＫ大賞１ BK小説大賞2 集英社小説大賞７ 女主人公 チート サバイバル 成り上がり もふもふ 商売 子供スタート バトル アクション 謎スキル,False,,,1307,2026-07-27,0.0,4372.0,504.0,65.0,"プリムローズは火属性至上主義の伯爵家の娘。
鑑定の儀式で属性不明の謎能力が出てしまったために、深い森へと捨てられてた。

「火属性が使えないゴミは我が家の血筋に相応しくない。森で魔物の餌にでもなっていろ」
「はぁ？　ふざけんな」

絶体絶命の瞬間、前世の日本人女性としての記憶が蘇る。
覚醒したのは、文字の意味を事象として引き出す前代未聞の「漢字」の力だった。

一発『殴』れば巨熊が吹き飛び、『爆』の一文字で爆弾の出来上がり。
『火』で燃やし、『凍』で冷凍肉を作り、『速』く動いて『刃』を振るう……。
数々の漢字を使いこなして、危険な森を生き抜いていく。

「漢字一文字だけじゃなく、熟語もいけるかな？」
「四字熟語といえば『焼肉定食』よね」

捨てられ令嬢の漢字サバイバル・バトルが幕を開ける。

※他サイト掲載中です。",19.0,0.0,179688.0,6986.0,4.0,118.0,1418.0,,,3.0,1.0,0.0,1.0
N8005LS,【連載版】加護なしの第八王女は、前世が社畜だったので王宮生活がイージーモードにしか見えない,茨木野,101,R15 残酷な描写あり 異世界転生 女主人公 内政 ハッピーエンド ざまぁ 溺愛 勘違い 政略結婚 事務チート クーデター 成り上がり 社畜,False,,663,19941,2026-08-31,0,76584,8499,146,"ブラック企業の連勤で過労死した社畜ＯＬは、異世界の大国で第八王女ミシェル（６歳）に転生する。 だが、彼女を待っていたのは「スキルなし・加護なし」という無能判定と、ボロ離宮への軟禁生活だった。

「衣食住がタダ？　残業なし？　ここが天国か！」

周囲の憐れみをよそに、前世が地獄すぎたミシェルは好待遇に感動。 暇つぶしに受けた教育で知識を極め、快適な引きこもりライフを守るために裏で王宮の不正会計を修正し、密かに国を支えていた。

そんなある日、彼女は「冷血皇帝」と恐れられる隣国の覇王ギデオンへの政略結婚（生贄）を命じられる。 絶望する姉たちを尻目に、ミシェルは彼の国が「実力主義（コネ上司なし）」「無駄な夜会なし（定時退社）」だと知り、歓喜して嫁いでいく。

これは、社畜精神で「タダ飯最高」と生きていた王女が、いつの間にか皇帝に溺愛され、捨てた祖国が勝手に破滅していく物語。

※本作は同タイトルの短編の連載版です。
※カクヨムでも掲載してます。",692,0,227244,116460,114,732,2478,,,1,1,0,1
N3304MI,もう重圧に苦しむ必要はございませんよ,紡里,302,アイリスIF9大賞 王妃 愛人 浮気 宰相 政治劇 見限る 自業自得,False,,,908,2026-07-20,0.0,10878.0,1319.0,7.0,"夫が愛人を作った。国王という重責に耐えるため、安らぎが必要なのだと言って。
それならば、王妃であるわたくしは？
国王の失言を取りなし、敵を宥め、味方に感謝を伝え、陰から王国を支えてきた。その献身を国王は評価しなかった。
裏切られた王妃は、支える力を少しずつ抜いていく。汚名はすべて夫に、国の未来は息子に託す。そのために、王妃としてできることは――",14.0,0.0,14036.0,12694.0,8.0,194.0,9182.0,,,3.0,0.0,0.0,0.0
N2931KU,狂鬼の鈴鹿～タイムリープしたらダンジョンがある世界だった～,とらざぶろー,202,R15 残酷な描写あり 男主人公 現代 魔法 冒険 ダンジョン パラレルワールド タイムリープ オリジナル戦記 ＥＳＮ大賞９ 配信,False,,834,18533,2026-08-31,0,63420,6800,237,"定禅寺鈴鹿が目を覚ますと、中学三年生の15歳にタイムリープしていた。強くてニューゲームだ！株の知識で億万長者になってやる！そう息巻く鈴鹿だったが、目覚めた世界はなにやら様子がおかしかった。

ダンジョン。富と名声、優れた容姿に人ならざる力までも得ることのできる、夢と希望と欲望ひしめく魔窟。そんなダンジョンが存在する世界に、鈴鹿はタイムリープしていたのだ。

これはダンジョンに魅入られた鈴鹿が自分の気持ちの赴くままに探索して力を付けてゆく、そんな男の成長物語である。

※カクヨムでも投稿しております。
※第九回アース・スターノベル大賞にて金賞を受賞いたしました！！！ 応援してくださった皆様のおかげです！！ ありがとうございます！！！ 書籍は2026年秋頃発売予定です！！",6791,10,1570176,100476,42,310,1838,,,2,0,0,1
N3923MF,頬を突き出してきたので、思いっきりビンタしました,へんりん毎朝7時投稿,101,女主人公 西洋 ハッピーエンド ざまぁ ざまあ 婚約破棄,False,,,0,2026-06-20,0.0,2680.0,333.0,1.0,,,,,,,,,,,,,,
N2591GI,婚約者に裏切られたので、子爵令嬢から王妃付き侍女にジョブチェンジしてみた,雉間ちまこ,101,R15 残酷な描写あり シリアス ほのぼの 女主人公 西洋 ハッピーエンド ヒストリカル すれ違い ざまぁ？ 書籍化 ヒーローが行方不明 コミカライズ,False,,,79674,2026-07-27,0.0,133292.0,14393.0,150.0,"それは待ちに待った15歳のデビュタントの日の事。
他の女性に跪き、愛を乞う自分の婚約者を目撃してしまった子爵令嬢、マーシャリィ・グレイシス。
まさかの浮気現場に悲しみにくれるけれど、当の婚約者からは言い訳も謝罪もない。婚約破棄になるかと思いきや、それすらもなくて、気が付けば未婚のまま10年の月日が経っていて…。
25歳のマーシャは、結婚することを諦めて王妃付き侍女になっていた。ただいま第２章連載中。
■令和６年１月１５日　コミカライズ４巻",207.0,33.0,472345.0,292640.0,30.0,314.0,1410.0,,,1.0,0.0,0.0,1.0
N3120MH,主はお赦しになりますが、私は赦しません ――祈るだけでよいと言われた聖女は、弱き者を食い物にした悪徳司祭の懺悔を聞きに行く,tomato.nit,201,ギャグ シリアス ダーク 女主人公 職業もの ハッピーエンド 聖女 ざまぁ ざまあ 横領 断罪 制裁,False,,,45,2026-07-06,0.0,2666.0,313.0,1.0,"弱き者に渡るはずだった毛布も薬も、神殿の悪徳司祭に食い潰されていた。

「聖女は祈るだけでよい」と金の話から遠ざけられていたイレイナは、感謝祈祷の名目でその司祭を聖堂へ呼び出す。
必要なのは祈りではない。懺悔と返済だ。

主はお赦しになる。
けれど、聖女は赦さない。

これは、弱き者を踏みにじった司祭から、聖女が一つずつ取り返していく断罪の話。",5.0,0.0,4045.0,2756.0,0.0,0.0,2578.0,,,2.0,0.0,0.0,0.0
N9171MH,王立学園祭礼史学講師ノア・フェルディナンの講義録 ────白夜祭の成立、または下手な踊りが王家の義務となるまで,もこもこハダカデバネズミ,201,聖女召喚,False,,,194,2026-07-13,0.0,3198.0,345.0,2.0,ノア先生の授業は面白いが、喋り方がほぼほぼ祝詞なので眠気との勝負である。,9.0,0.0,16679.0,3586.0,0.0,188.0,2552.0,,,2.0,0.0,0.0,0.0
N5894LW,【電子書籍化】元社畜転生令嬢は今日も第二王子を振り回す ～パワハラで鍛えられた私に、侯爵令嬢の嫌がらせは効きません～,Megumi@6/25『元社畜転生令嬢』電子書籍発売,101,異世界転生 学園 ハッピーエンド 悪役令嬢 ざまぁ 元社畜 過労死転生 王子 白い結婚？,False,,,3624,2026-07-20,0.0,51544.0,5677.0,7.0,"ブラック企業で過労死した私が転生したのは、田舎の男爵令嬢。
領地改革をしたら噂が広まり、なぜか第二王子の婚約者に選ばれてしまった。
しかし王子は完全な塩対応。

しかも、学院では絶対的な権力を握る侯爵令嬢にターゲットにされ、いじめまで始まってしまう。

——悲しくて涙が出ちゃう……なんて言うと思った？

生憎、前世のパワハラで鍛えられた私には、完全にノーダメージです。

さあ、社畜の力で反撃を開始しましょう。



※応援してくださった皆さまのおかげで、本作の電子書籍が6/25よりコミックシーモアにて先行配信開始しました！

・クラリスの過去とその後
・新キャラとマリーのバトル（？）
・ちょこっとだけ甘くなった殿下との関係

これらを含め、3万字以上加筆しました。
ちなみにシーモア版のみアベル視点の蛇足がおまけでつきます。
少しでも楽しんでいただけたら嬉しいです！",19.0,0.0,22081.0,58792.0,26.0,310.0,1554.0,,,1.0,1.0,0.0,0.0
N4323ME,幼馴染は私の大切なものを奪うのが趣味だった,まほりろ・コミカライズ配信中,201,R15 残酷な描写あり ＢＷＫ大賞１ BK小説大賞2 シリアス 女主人公 西洋 近世 ハッピーエンド 復讐 ざまぁ 婚約破棄 手癖の悪い幼馴染 浮気者の婚約者 強かな主人公,False,,,0,2026-06-20,0.0,14140.0,1783.0,1.0,,,,,,,,,,,,,,
N7058ME,夫の幼馴染の娘に、娘の名前を譲れと言われたので、夫ごと捨てます～前世の物語では“名無し”になった娘が消えるそうですが、母親なのでお断りです～,小竹X,101,R15 異世界転生 女主人公 西洋 近世 魔法 ハッピーエンド 政略結婚 冷遇夫 幼馴染 娘 母娘 名付け魔法 名前魔法 名綴り師 離縁 ざまぁ,False,,,362,2026-06-29,0.0,2166.0,269.0,69.0,"侯爵夫人エレノアは、夫アルベルトに冷遇されながらも、四歳の娘リネリアを守って暮らしていた。

この国では、洗礼名はただの呼び名ではない。子どもの薬箱、部屋の守り、相続権、迷子札、魔法の加護。すべてが名前に結びついている。

そんなある日、夫は幼馴染セシリアとその娘ミーナを屋敷へ連れてきて、当然のように言った。

「リネリアの名前を、ミーナに譲ってやってくれ」

病弱で社交に出られない実の娘より、聖女の血を引く幼馴染の娘を侯爵家の長女として扱う。だからリネリアには別の名をつければいい、と。

その瞬間、エレノアは前世の記憶を思い出す。ここは前世で読んだ物語の世界。娘リネリアは名前を奪われ、“名無しの子”として誰からも正しく呼ばれないまま消えていく。夫が妻への愛に気づくのは、娘がいなくなった後だった。

冗談ではない。

夫に愛されるために、娘の名前も命も差し出す気はない。

「分かりました。では、離縁しましょう」

名綴りの力を持つエレノアは、娘の名前を守るため屋敷を出る。小さな手を握り、名札のついた鞄を抱えて。

一方、エレノアが去った侯爵家では、彼女の地味な名綴り魔法に支えられていた管理と加護が、静かに崩れ始める。",16.0,0.0,149321.0,2890.0,0.0,30.0,1830.0,,,,,,
N5927LZ,本当に我が子なのか、と言われましても【連載版始めました】,秋色mai @ノラ令嬢発売中！,101,ギャグ 女主人公 西洋 悪党貴族 氷の姫君 政略結婚 結婚式で泣く 犬に蹴られる クワを持つ ただのいい人,False,,,618,2026-07-20,0.0,23618.0,2736.0,1.0,"「……貴方を愛することはない」

　結婚式当日。神に愛を誓った瞬間に、悪党貴族エイダン・ボーモントはそう呟いた。……のだが。

　────何を余計なことを仰っているのかと、私は頭が痛くなりました。

　結婚相手は、氷の姫君だった。",15.0,0.0,4886.0,24854.0,26.0,134.0,17998.0,,,1.0,0.0,0.0,0.0
N7038HV,【書籍3巻発売】酔っ払い令嬢が英雄と知らず求婚した結果 〜最強の神獣騎士から溺愛がはじまりました!?〜【コミカライズ】,長月 おと,101,R15 ハッピーエンド 貧乏令嬢 騎士団長 魔法使い 神獣 ゆるふわ魔道具設定 ファンタジー 不憫当て馬 溺愛 ちょいモフモフ,False,,762,35570,2026-08-31,0,125594,13285,79,"主婦と生活社様より、書下ろし書籍３巻発売中！
comicPASHI!neoにてコミカライズ連載中！コミックス2巻4/3発売！
＊＊＊＊
「至急、婿を見つけ帰郷せよ」
田舎の実家から突然指令が届いたが、金なし、時間なし、人脈なしの貧乏令嬢ヴィエラには極めて難しい。今だって他部署のイケメン魔法使いクレメントにこき使われる日々で、社交界とは無縁なのだ。
だが実家の跡継ぎ問題となれば動かなければならないだろう。ヴィエラは気合を入れて、婿探しのため二年ぶり＆人生四回目の夜会に飛び込むも……もちろん収穫ゼロ。やけ酒に走ることにした。そうして酔っぱらった彼女が、偶然近くにいた初見の騎士ルカーシュに「一年後なら離縁OK」「労働なし」という契約婿の話を持ち掛けたところ、まさかの承諾。ヴィエラは喜んだ。
だが後日、ルカーシュが国の英雄だと知って――!?　契約で婚約したら、溺愛ともふもふもセットでした。
【有能な貧乏魔法使い令嬢×国最強の神獣騎士】←三角関係に持ち込みたい【後輩イケメン魔法使い】
本作はファンタジーありの恋物語。
◆本編完結済み（記念SS不定期投稿）
◆（旧題）婚活で追い詰められた貧乏令嬢、酔った勢いで神獣騎士と知らないまま婚約を持ちかけた結果、溺愛がはじまりました!?",163,6,240256,196734,26,390,2044,,,1,0,0,0
N6392ME,【完結】そんなにデカパイ自撮り女がよいんですの？～色気が足りないと婚約破棄されたので、最後の夜会で本気を出しました～,木風,101,ＢＷＫ大賞１ BK小説大賞2 ハッピーエンド 婚約破棄 ざまぁ 勘違い男 デカパイ自撮り女,False,,,0,2026-06-20,0.0,5070.0,603.0,3.0,,,,,,,,,,,,,,
N8515MF,ハズレスキル『幸運』で異世界では村人でしたが、帰還したら宝箱ガチャSランク連発でダンジョン配信でバズりました,御霊みたま,202,異世界転生 異世界転移 ＢＷＫ大賞１ 男主人公 現代 ハーレム チート ダンジョン 近未来 現代ダンジョン ダンジョン配信 主人公最強 成り上がり ハズレスキル 配信者 配信,False,,,837,2026-07-06,0.0,1732.0,198.0,53.0,"異世界から帰ってきたら現代にダンジョンができてる……。
そして低級ダンジョンの木箱から、Sランク精霊が出た！

【あらすじ】

異世界では《幸運》はハズレスキルだった。

剣も魔法も強くならない。
ただ、悪い選択肢を引きにくく、必要なものと出会いやすいだけ。

だが現代へ帰還した連理の前には、ダンジョンと宝箱、そして探索配信が当たり前になった世界が広がっていた。

初めての低級ダンジョンの木箱から、Sランク精霊。

本来なら小物しか出ないはずの宝箱が、連理の手で次々と常識外れの報酬を吐き出していく。

これは、ハズレ扱いされた《幸運》を持つ帰還者が、宝箱ガチャで現代ダンジョンの常識を壊していく物語。",10.0,0.0,147387.0,3406.0,14.0,186.0,1998.0,,,2.0,1.0,1.0,1.0
N5065MF,暴行をでっち上げられた時の対処法,へんりん毎朝7時投稿,101,R15 女主人公 西洋 学園 ハッピーエンド ざまぁ ざまあ 婚約破棄,False,,,0,2026-06-22,0.0,2620.0,329.0,1.0,「ダレイユ！お前との婚約を破棄する！ダバリーナに暴行を加えやがって！――やっていないと主張するのであれば証拠を示せ！」ダレイユ公爵令嬢は、学園創立記念パーティでホームラー王子にそう宣言された。そこでダレイユ令嬢は証拠を示すことにした……,0.0,0.0,,,,,,,,,,,
N3658MH,祝福の空に鳥が鳴く,伽藍,201,異世界 貴族社会 婚約破棄 微ざまぁ ヒロインは小鳥 ヒーローは妖精王 勘違いからの断罪 身分差の婚約 使い魔との主従の絆,False,,,54,2026-07-06,0.0,2746.0,331.0,1.0,　とある王国に、魔法の強さを認められて第三王子と婚約した男爵令嬢がいた。けれど第三王子は、身分の低い男爵令嬢と婚約させられたことを恨んで男爵令嬢に辛く当たる日々を過ごしていた。そんな中で、とうとう男爵令嬢の不貞が発覚したことで第三王子は婚約破棄を叫ぶのだった。,2.0,0.0,4730.0,2854.0,6.0,72.0,2492.0,,,2.0,0.0,0.0,0.0
N2852LT,アラサーからのダンジョン探索～英雄は目指さない。マイペースに遊びながら稼ぎます～,迷子,202,残酷な描写あり 男主人公 現代 冒険 ダンジョン 社会人主人公 レベル制 スキル制 ジョブ制 じわじわ強くなる 仲間と成長 コメディ要素あり セカンドライフ 第二の青春 三人組,False,,,5640,2026-07-27,0.0,15958.0,1755.0,139.0,"【2026年5月2日書籍一巻発売！】
【皆様応援よろしくお願いします！】


世界にダンジョンが出現して二年。
混乱は落ち着き、攻略法も出揃った。

――今なら俺でもやれる。

三十二歳の元会社員・小畑楓太はそう判断し、安定した職を辞める決意をする。

英雄になる気はない。
最強を目指すつもりもない。
死ぬつもりも、もちろんない。

無理はしない。
危険は避ける。
徹底的に情報を集め、安全な道だけを選ぶ。

そして偶然にも、まったく同じ結論に辿り着いていたオタク仲間二人と共に、楓太はダンジョンへ挑む。

三人でわちゃわちゃ言い合いながら、堅実に生き残る。

目指すのは成り上がりでも世界救済でもない。

「ほどほどに稼いで、ほどほどに遊ぶ」

意識は低め。だが判断は冷静。
本人たちは低空飛行のつもり――なのに、なぜか評価だけは上がっていく。

そんなアラサー独身三人組の、現実的ダンジョン攻略記。

（カクヨムでも掲載しております）",1119.0,0.0,1140656.0,27238.0,20.0,264.0,1436.0,,,2.0,0.0,0.0,1.0
N1451ME,婚約者の幼馴染が二十四回目のお詫びに来たので、氷の令嬢は書斎にある人を隠してみました,Megumi@6/25『元社畜転生令嬢』電子書籍発売,101,女主人公 ハッピーエンド 婚約破棄 ざまぁ 仮病,False,,,848,2026-06-29,0.0,30896.0,3672.0,1.0,"四年で二十四回。
婚約者ダミアン・アレクサンドル公爵令息は、幼馴染エレーヌの体調を理由に、クロエとの約束を反故にし続けた。
その回数を社交界に律儀に拡散していたのは——エレーヌ自身だった。

「クロエ様は気高い方だから、何も感じていらっしゃらないわ」

いつしかクロエは「氷のような令嬢」と呼ばれていた。
家族のために、次期公爵夫人としての体面のために。一度でも気を抜けば二度と立てなくなる気がして、ただ一人で己を律し続けた四年間。

ある夜会で、令嬢たちが扇の陰で「二十四回目」と数えるのを聞きながら、クロエはようやく決意する。

——もう、終わりにしましょう。",15.0,0.0,10006.0,32592.0,34.0,140.0,1484.0,,,,,,
N4706MI,それ以外が逸脱【ファンタジーでシリーズ化しました】,千田,101,R15 残酷な描写あり ハッピーエンド ざまぁ薄め 婚約解消 蛮族 やや残酷,False,,,274,2026-07-20,0.0,10104.0,1209.0,1.0,"容姿も財力も平均的な伯爵令嬢マリーの婚約者のオズモンドが病弱幼馴染みの男爵令嬢の見舞いといってお茶会、観劇に来なくなること数知れず。マリーと家族たちがついに動き出す。

6/19好評につき、ファンタジーカテゴリーでシリーズ化しました。https://ncode.syosetu.com/n0236mj/
",24.0,0.0,2886.0,10652.0,0.0,20.0,5534.0,,,1.0,0.0,0.0,0.0
N6905FX,【完結】『妖精騎士の物語 』少女は世界を変える【御礼】,ペルスネージュ,302,R15 残酷な描写あり シリアス 女主人公 近世 群像劇 魔法 オリジナル戦記 成長譚 魔剣が相棒 十六世紀風,False,,,6755,2026-06-23,0.0,18112.0,2012.0,1047.0,"　子爵の娘に生まれた『彼女』は、裕福な下位貴族か商人の家に嫁いで姉を支えることが求められていた。そんな中、家の書庫で調べ物をしていた彼女は不思議な短剣を手にする。短剣は古の魔術師の魂の依代であり、対価を支払えば魔術を教えてくれるという。彼女は美しい黒髪を対価に魔術を習い、両親姉に知られることなく錬金術師となるのであった。

―――　彼女は世界を変えたいと願っていた　―――

2026/05/30(土) のランキング　1 位　注目度 - すべて　完結ブーストぇ……

◆第一部　十三歳　『代官の娘』『アリー』『辺境伯』『レンヌ』『公都訪問』『孤児院』他の全十幕

◆第二部　十五歳　『ルーン』『兎馬車』『ノーブル』『サボア公国』『メリッサ』『タラスクス』他の全十幕

◆第三部　騎士学校　『フルール分隊』『ワスティンの森』『ロマンデ遠征』『鉄腕』『地下墳墓』 『ミアン』『オリヴィ』『ラマンの悪竜』の全九幕

◆第四部　十六歳  『王都の帝国人』『帝国行』『アジト入手』『ディルブルク』『二度目の帝国行』『公女マリア』他の全八幕

◆第五部　ネデル　『王弟フランツ』『ルイ・ダンボア』『秋の遠征』『司教領リジェ』『小城塞』『瓦解』『アンゲラ』『暗殺者養成所』『リリアル副伯』他の全十幕

◆第六部　副伯アリエル 『ワスティンの修練場』『スティレット』『外輪船』『王太子宮』『捜索する二人』『ラ・クロス』『冒険者パーティ』『大塔』他の全九幕

◆第七部　十七歳　『連合王国への旅立ち』『巡礼街道から首都へ』『首都リンデ』『殿下到着』『女王陛下』『馬上槍試合』『乙女の願い』『出帆』『ノルヴィク』『人狼』の全十幕

◆第八部　賢者学院 『竜使い』『腕試し』『クラン寮生』『吸血鬼の気配』『学院内対抗戦』『半魚人強襲』『女王との対談』『救貧院』『王太子妃 』『領都防衛計画 』『レーヌ公国』の全十一幕

◆第九部　ヌーベ 『王都帰還』『事前準備』『開拓村』『元帥会議』『臨時組』『婚約披露』『遠征準備』『ヌーベ遠征』他の全十幕

◆第十部　リリアル東へ 『侯爵』『ニース』『キュプロス島』『マグスタ』『聖王同盟艦隊』『艦隊編成会議』『艦隊集結』『艦隊出撃』『パトラ海戦』他の全十幕

※『カクヨム』にも掲載しています。
【Reproduction is prohibited.】【禁止私自转载、加工】",0.0,0.0,5367619.0,31622.0,8.0,70.0,2596.0,,,,,,
N2664MA,旦那様が他人に「ありがとう」と言う姿を見て、家出をする私の話,立花 みどり,101,女主人公 西洋 ハッピーエンド 夫婦 身分差 すれ違い 家出,False,,,513,2026-07-06,0.0,19820.0,2329.0,1.0,"「あのっ、落としましたよ」
「……ああ、ありがとう」
　私には決して言わない感謝の言葉を、他家の使用人に微笑みながら言っているのを見て、私の心はポッキリと折れた。

侯爵家の旦那様と元冒険者の子爵家の長女がすれ違う話。家出して追いかけて本音を聞いて、仲直りする話です。",13.0,0.0,11257.0,20846.0,12.0,92.0,1418.0,,,1.0,0.0,0.0,0.0
N7872LZ,【連載版】聖女は3歳児でした　　〜聖女誕生からレイナ成長記録〜,ぶっくん,201,JR西じゆうに大賞1 集英社小説大賞７ ほのぼの 女主人公 西洋 中世 ＥＳＮ大賞１０ 聖女,False,,,1003,2026-06-29,0.0,3972.0,442.0,51.0,"聖女としてアルドリア王国の城に来たのは農夫の娘3歳の女の子レイナだった。
レイナの行動は予想外で混乱を引き起こしたりしますが、王様達や両親はあたたかく見守っている。

投稿済み短編「聖女は3歳児でした」、「天界の円卓会議　〜3歳の聖女の誕生前騒動〜」、「聖女レイナの両親の平凡な奇跡」の連載版になります。
第1話から第3話までが短編と同一の話になります。

ジャンルをローファンタジーからハイファンタジーに変更しました。

5月31日　注目度　1位にランクインしました。
皆さん見て頂きありがとうございます。

沢山の皆さんに見て頂きましたので、番外編を作成しました。よろしくお願い致します。

",22.0,0.0,94319.0,5978.0,0.0,32.0,2314.0,,,,,,
N7250GN,【書籍化決定】ちったい俺の巻き込まれ異世界生活 ,ぬー,201,R15 残酷な描写あり 異世界転移 ギャグ ほのぼの 男主人公 冒険 日常 逆行転生,False,,,28102,2026-06-29,0.0,75122.0,8140.0,313.0,"【１１月１０日、５巻発売】
ツギクル様からです。よろしくお願いします！

タイトル通り、オッサンが幼児になってワチャワチャします。
",1296.0,7.0,1273103.0,131326.0,26.0,216.0,1828.0,,,,,,
N9038MF,【完結】「王女殿下が忘れられないんでしょう？」と身を引いた瞬間、完璧な仮面を剥ぎ取った爽やか婚約者の執着スイッチが入りました ～僕を捨てる？ 本当に逃げられると思ってるの？～,恋せよ恋,101,女主人公 中世 ハッピーエンド すれ違い 勘違い 婚約者 ヤンデレ 溺愛 執着 有能令息 初恋,False,,,367,2026-07-06,0.0,2152.0,257.0,18.0,"「王女殿下が忘れられないなら、私が身を引くべきよね」
婚約から一年、良かれと思って告げた決別の言葉。

けれど、爽やかだった婚約者の瞳から、すうっと光が消えて。
「僕を捨てる？ 本当に逃げられると思ってるの？」

最悪の勘違いから始まる、逃亡不可能な独占欲全開の溺愛劇、開幕！

◇ 本作の設定・登場人物はすべてフィクションです。
◇ 作者の妄想と勢いで構成されています。
◇ 描写の不備・誤字脱字は随時修正してまいります。
◇ 表現にご不快な点がございましたら申し訳ございません。
◇ ブックマーク・★ポイント励みになります！
",12.0,0.0,40836.0,2886.0,32.0,62.0,1958.0,,,1.0,0.0,0.0,0.0
N6484MC,「私が悪いんですぅ」って言ったから、罪を償ってもらいました,井上さん,302,ＢＷＫ大賞１ BK小説大賞2 ギャグ 女主人公 ハッピーエンド,False,,,26,2026-06-23,0.0,2610.0,352.0,1.0,"よくある婚約破棄の話

「私が悪いんですぅ」

絶対に悪いと思ってないよね…",0.0,0.0,994.0,2662.0,12.0,84.0,2658.0,,,,,,
