ncode,title,author,genre,tags,is_anime,anime_id,monthly_rank_latest,bookmark_count_latest,updated_at,weekly_unique_latest,all_point_latest,all_hyoka_cnt_latest,episode_count_latest,story,impression_cnt_latest,review_cnt_latest,length,global_point_latest,daily_point_latest,weekly_point_latest,monthly_point_latest,general_lastup,novel_updated_at,biggenre,is_isekai_tensei,is_isekai_tenni,is_completed
N2468MC,45歳社長、転生先でハズレスキル「綻びの目」を武器に没落領地を再建する,アカメノコバチ,201,異世界転生 ほのぼの 男主人公 西洋 内政 日常 ハッピーエンド ダンジョン 領地 経営 開拓 鑑定 再建 異世界,False,,306,17100,2026-08-31,0,52716,5904,498,"仲間に裏切られ、会社を奪われかけた45歳の経営者は、過労の末に倒れた。
次に目を覚ました時、彼は異世界の没落領主の息子になっていた。

だが、12歳で授かった神授スキルは、最悪のハズレと呼ばれる《綻びの目》。
人や物や組織の“壊れる前兆”が見えるだけ。
歴代の所有者も、見えるだけで何も変えられず、嫌われ、潰れ、消えていったという。

――だが、それがどうした。

前世で人の裏切りも、帳簿の歪みも、組織の腐りも嫌というほど見てきた男にとって、そのスキルはむしろ最高だった。
腐敗した家臣、横流しされる物資、崩れた徴税、終わったと思われた領地で、ハズレスキルは最強へ変わる。
これは、壊れた人生をやり直す男が、《綻びの目》と経営者の知識で領地も組織も再建していく異世界逆転譚。",1564,5,1994033,86896,86,1088,7622,,,2,1,0,1
N8883MC,カフェにて～転生令嬢は人生を楽しむことにした,瀬嵐しるん,201,異世界転生 ほのぼの 女主人公 西洋 近代,False,,833,2806,2026-08-31,0,50870,5658,1,前世の記憶を持つグレーテルは、遠い親戚のジギスムントに連れられてカフェに来ていた。それは黙ってケーキを食べるだけの簡単なお仕事で……,95,1,5446,56482,12,332,1840,,,2,1,0,0
N3181MH,子供ができない女と離縁された私は、七人目の継母としてワケあり伯爵家に嫁ぐ,セトガワ　トウ,101,R15 残酷な描写あり 異世界転生 女主人公 継母 継子 ざまぁ 魔道具 親子,False,,,1259,2026-07-27,0.0,38080.0,4419.0,1.0,"子供が大好きで仕方ないユミルだったが、不幸なことに彼女は体質的に子を授かれない。それが理由で夫にも離縁されてしまう。
だがある日、ユミルに母になるチャンスが巡ってくる。",53.0,0.0,11096.0,40598.0,26.0,114.0,1400.0,,,1.0,1.0,0.0,0.0
N2591MG,初恋の花は枯れた【電子書籍化決定】,月森香苗,101,失恋 二度目の恋 結婚,False,,,1235,2026-07-13,0.0,37050.0,4242.0,1.0,初恋は芽吹くことなく終わった。そして二度目の恋は、花開いた。,24.0,0.0,7316.0,39520.0,2.0,230.0,1674.0,,,1.0,0.0,0.0,0.0
N2469MF,「政略結婚は時代遅れ」だそうなので、公爵は王家を見捨てます,紡里,302,婚約破棄 王太子 政略結婚 公爵離反 婚姻外交 女性の人生,False,,,1419,2026-07-06,0.0,38878.0,4388.0,1.0,"王太子は突然婚約破棄をした。
それを知った公爵は、王太子を支持することをやめる。
破棄した令嬢と公爵は無関係なので、王太子はそれを咎めるために公爵邸へ乗り込んだ。
さて、公爵の言い分とは――

※カクヨムにも掲載",39.0,1.0,1681.0,41716.0,30.0,184.0,1704.0,,,3.0,0.0,0.0,0.0
N3623MH,英雄になった夫が実在していた件について 〜待つ妻ごっこをしていた未婚の私のもとへ勇者様が帰ってきた。誰だお前〜,たぬちゃん,101,異世界恋愛 勇者 魔王 ファンタジー シリアス ほのぼの ギャグ 復讐 すれ違い 短編 完結済み 手紙 ルンバ コメディ ラブコメ,False,,805,1776,2026-08-31,0,40782,4556,1,"フォルトーナ（未婚）が「戦いに行った夫の帰りを待つ妻」という設定で投函しない手紙を書いて遊んでいたら、なぜか本物の勇者様が帰ってきた。
初めまして。",48,0,6901,44334,0,378,1924,,,1,0,0,0
N3011MH,聖女に選ばれましたが相応しくないそうなので、帰って実家の畑を手伝います,ぴょる,201,聖女,False,,,1300,2026-08-03,0.0,37122.0,4270.0,1.0,"辺境の農家の娘、リタは聖女に選ばれた。
王宮での暮らしに期待で胸を膨らませるリタだったが、聖女の生活は想像とはあまりにもかけ離れたものだった。
貧相な食事に深夜の祈り。休みも給金も任期もない。「聖女とはそういうものだ」と誰もが信じて疑わない。
納得のいかないリタはある日、荷物をまとめ、他の聖女とともに実家に帰った。
そして聖女たちが王都を去った結果、国は崩壊寸前の大混乱に陥ってしまい……",27.0,0.0,16972.0,39722.0,20.0,170.0,1908.0,,,2.0,0.0,0.0,0.0
N3445MG,夫が戦地から新しい妻を連れ帰ったので、全てを奪うことにした,ひよこ１号,101,ＢＷＫ大賞１ BK小説大賞2 集英社小説大賞７ コミックルーム大賞 浮気 不倫 白い結婚 勅命 離縁,False,,,1178,2026-07-20,0.0,34612.0,4066.0,1.0,侯爵夫人になったラシュリーは商家の娘だった。その資産で夫を支えていたが、戦地に行った夫は半年で浮気をして、子連れで帰還。しかも離婚してくれない。ラシュリーのとった行動は……,36.0,1.0,8685.0,36968.0,12.0,180.0,1520.0,,,1.0,0.0,0.0,0.0
N5367MH,はい。わたくしが辺境伯に嫁いだばかりの妻です,高月水都,101,残酷な描写あり ＢＷＫ大賞１ 話し合い（物理） 辺境の新妻 王命 騎士団の娘 冷遇妻（?）,False,,,929,2026-07-20,0.0,33984.0,4026.0,1.0,辺境に王命で嫁いだはずなのに白い結婚をすると侍女からの伝言で夫にいまだ会えず。ならば、その怒りを元凶にぶつけてきましょうと騎士団入隊試験の会場に愛用の武器を持ってアマレットは向かったのだった。,49.0,0.0,2572.0,35842.0,24.0,168.0,1452.0,,,1.0,0.0,0.0,0.0
N9517ME,勇者様がギルド酒場で顔面から転んだらしい。治癒士の私は何もしていません,灯野ましろ,201,シリアス 女主人公 勇者 西洋 中世 職業もの 魔法 冒険 ざまぁ 勇者パーティ追放 治癒士 もう遅い ギルド Sランクパーティ 報酬未払い,False,,,953,2026-07-06,0.0,32834.0,3719.0,1.0,"「勇者様、ちょっと足を滑らせただけです」
「いえ、誰も殴っていません」
「私は何もしていません。本当に」
八年間、勇者パーティを支えてきた治癒士エルナ。
師の形見の杖を折られかけたその夜、満員のギルド酒場で、勇者は顔面から床に転んだ。
誰も、何も、見ていなかった。
──これは、ある酒場で起きた小さな事故の記録である。",33.0,1.0,7687.0,34740.0,10.0,124.0,1510.0,,,2.0,0.0,0.0,0.0
