ncode,narou_title,is_book,amazon_asin_vol1,amazon_url_vol1,amazon_title_vol1,amazon_rating,amazon_review_count,match_score,checked_at
N7036ID,魔物喰らいの冒険者,True,B0DPG2NXZX,https://www.amazon.co.jp/dp/B0DPG2NXZX,魔物喰らいの冒険者,,,1.0,2026-06-23
N9931LJ,養豚農家のおっさんだった令嬢が、「あなたを愛せない」と泣く婚約者を育ててみた。,False,,,,,,0.0,2026-06-23
N2537JS,騎士爵家　三男の本懐 【 書籍版 発売中！】,False,,,,,,0.0,2026-06-23
N4561KD,小物貴族が性に合うようです,True,B0G6BPLTGL,https://www.amazon.co.jp/dp/B0G6BPLTGL,小物貴族が性に合うようです (カドカワBOOKS),,,0.6842,2026-06-23
N3472MG,永遠にこの真実が沈黙されることを願って,False,,,,,,0.0,2026-06-23
N0092ME,悪役令嬢、胃袋を掴む,False,,,,,,0.0,2026-06-23
N8778MH,婚約破棄された弔い令嬢は、亡き王妃様の棺に白百合を置いただけでした――王家の罪が咲くとも知らずに,False,,,,,,0.0,2026-06-23
N9402LN,転生したらヴァイキングの農民でした。文化勝利を目指します,False,,,,,,0.0,2026-06-23
N9391MH,『さしすせそ』叔母が地雷貴公子との見合いをセッティングしてきます,False,,,,,,0.0,2026-06-23
N7082JH,【アース・スター金賞】　貴婦人たちの噂話は今日も楽しい　,False,,,,,,0.0,2026-06-23
N2281MF,愛しい人よ、気絶している間に全て解決だ　～婚約破棄から始まる逆転劇,False,,,,,,0.0,2026-06-23
N8247MF,捨てた婚約者は、今日も騒がしいのだろう,False,,,,,,0.0,2026-06-23
N3250LY,婚約破棄の瞬間に「前世の記憶」が戻りまして。〜ヒロインの座は譲りますので、私は推しキャラの側仕えを目指します！〜,False,,,,,,0.0,2026-06-23
N7084MD,今後の予定は無しにして下さい（連載版）,False,,,,,,0.0,2026-06-23
N5928MH,「あんまり調子乗ってると階段から突き落とすわよ！」と脅されましても,False,,,,,,0.0,2026-06-23
N6532HA,【書籍化＆コミカライズ】領地を立て直したい嫌われ者のお色気令嬢は女ったらしの成り上がり貴族に愛される,False,,,,,,0.0,2026-06-23
N8002ME,ほどほどが一番,False,,,,,,0.0,2026-06-23
N5432KK,【書籍②巻6/1発売】3度目の人生は、忘れ去られていた王女様でした（旧：３度目の転生は、忘れ去られていた王女様でした）,False,,,,,,0.0,2026-06-23
N5619FV,【アニメ3期決定】転生貴族、鑑定スキルで成り上がる～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～,True,B08VS6HV53,https://www.amazon.co.jp/dp/B08VS6HV53,転生貴族、鑑定スキルで成り上がる ～弱小領地を受け継いだので、優秀な人材を増やしていたら、最強領地になってた～,,,0.9153,2026-06-23
N8959IQ,外れスキル【無限再生】が覚醒して世界最強になった　～最強の力を手にした俺は、敵対するその全てを蹂躙する～,False,,,,,,0.0,2026-06-23
N0745KY,【6/10書籍発売】誤解は解きません。悪女で結構です。,False,,,,,,0.0,2026-06-23
N0111MD,物に宿る精霊が見えるのでアンティークショップで働きます,False,,,,,,0.0,2026-06-23
N1081LQ,戦国転生したら秀長の息子でした ～宰相の子として豊臣を滅亡から救います～,False,,,,,,0.0,2026-06-23
N3082LP,転生姫はお飾り正妃候補。愛されないので自力で幸せ掴みます,False,,,,,,0.0,2026-06-23
N4174MF,辺境惑星で旧文明AIを起動したら、銀河インフラが再起動しはじめた 〜廃船修理のつもりが、星系管理者に登録されました〜,False,,,,,,0.0,2026-06-23
N2389JR,兵站将校は休みたい！,True,B0GX32VNJN,https://www.amazon.co.jp/dp/B0GX32VNJN,兵站将校は休みたい【電子特別版】,,,0.6923,2026-06-23
N4951LS,もう二度と助けを求めないでください,False,,,,,,0.0,2026-06-23
N5143LT,ちょっと留守にしていたら家が没落していました,True,4813793614,https://www.amazon.co.jp/dp/4813793614,ちょっと留守にしていたら家が没落していました 転生令嬢は前世知識と聖魔法で大事な家族を救います (ベリーズファンタジー),,,0.5366,2026-06-23
