date,ncode,cumulative_view,daily_view,bookmark_count,monthly_rank,weekly_rank,weekly_unique,all_point,all_hyoka_cnt,episode_count
2026-06-19,N3563MG,22264.0,,0.0,64.0,,,21418.0,2553.0,1.0
2026-06-19,N3364MF,22362.0,,0.0,65.0,,,21098.0,2623.0,1.0
2026-06-19,N1969MA,21948.0,,0.0,66.0,,,20784.0,2341.0,1.0
2026-06-19,N4856MC,21936.0,,0.0,67.0,,,20834.0,2493.0,1.0
2026-06-19,N8143MF,21708.0,,0.0,68.0,,,19970.0,2374.0,3.0
2026-06-19,N4891MH,21502.0,,0.0,69.0,,,19460.0,2181.0,1.0
2026-06-19,N3694MH,21322.0,,0.0,70.0,,,20244.0,2465.0,1.0
2026-06-19,N9257MF,20902.0,,0.0,71.0,,,20094.0,2438.0,1.0
2026-06-19,N5098MH,20872.0,,0.0,72.0,,,19874.0,2416.0,1.0
2026-06-19,N8817IQ,269332.0,,0.0,73.0,,,165628.0,17933.0,93.0
2026-06-19,N9068MH,20926.0,,0.0,74.0,,,19820.0,2436.0,1.0
2026-06-19,N8367MF,20548.0,,0.0,75.0,,,19572.0,2419.0,1.0
2026-06-19,N1562MH,20728.0,,0.0,76.0,,,20008.0,2436.0,1.0
2026-06-19,N3625MG,20114.0,,0.0,77.0,,,18956.0,2357.0,1.0
2026-06-19,N1290MI,20962.0,,0.0,78.0,,,19508.0,2360.0,1.0
2026-06-19,N2354MI,20840.0,,0.0,79.0,,,19640.0,2318.0,2.0
2026-06-19,N2271MF,19888.0,,0.0,80.0,,,18242.0,2054.0,1.0
2026-06-19,N3097ME,19922.0,,0.0,81.0,,,18896.0,2095.0,1.0
2026-06-19,N2573MH,19750.0,,0.0,82.0,,,17932.0,2070.0,2.0
2026-06-19,N5346MF,19634.0,,0.0,83.0,,,18696.0,2147.0,1.0
2026-06-19,N0382MC,20176.0,,0.0,84.0,,,10320.0,1149.0,61.0
2026-06-19,N0405MF,27810.0,,0.0,85.0,,,25530.0,2787.0,1.0
2026-06-19,N6315LK,19444.0,,0.0,86.0,,,17022.0,1904.0,10.0
2026-06-19,N0514MF,20806.0,,0.0,87.0,,,19666.0,2238.0,1.0
2026-06-19,N2280MC,19034.0,,0.0,88.0,,,17478.0,2084.0,5.0
2026-06-19,N7141LJ,18918.0,,0.0,89.0,,,15712.0,1702.0,13.0
2026-06-19,N5502MF,18784.0,,0.0,90.0,,,17872.0,2215.0,1.0
2026-06-19,N2688MF,18654.0,,0.0,91.0,,,17626.0,1974.0,1.0
2026-06-19,N3678MG,18614.0,,0.0,92.0,,,14334.0,1621.0,8.0
2026-06-19,N8455MF,18140.0,,0.0,93.0,,,17348.0,2054.0,1.0
2026-06-19,N4417JO,18232.0,,0.0,94.0,,,14128.0,1588.0,16.0
2026-06-19,N7770MH,17752.0,,0.0,95.0,,,16494.0,2058.0,4.0
2026-06-19,N1536JT,17466.0,,0.0,96.0,,,16722.0,1971.0,1.0
2026-06-19,N7921MH,17678.0,,0.0,97.0,,,16644.0,1976.0,2.0
2026-06-19,N0647MD,17506.0,,0.0,98.0,,,15956.0,1767.0,3.0
2026-06-19,N7474MH,17400.0,,0.0,99.0,,,16456.0,1911.0,1.0
2026-06-19,N5441MF,17212.0,,0.0,100.0,,,16348.0,2014.0,1.0
2026-06-19,N5601MI,20628.0,,0.0,101.0,,,19650.0,2352.0,1.0
2026-06-19,N5754MG,17098.0,,0.0,102.0,,,16442.0,2028.0,1.0
2026-06-19,N0553MG,17112.0,,0.0,103.0,,,14500.0,1624.0,15.0
2026-06-19,N6726MG,16878.0,,0.0,104.0,,,15968.0,1778.0,1.0
2026-06-19,N3532LQ,47328.0,,0.0,105.0,,,31556.0,3551.0,96.0
2026-06-19,N5144MG,16792.0,,0.0,106.0,,,13464.0,1594.0,32.0
2026-06-19,N7879JW,17144.0,,0.0,107.0,,,16146.0,1906.0,1.0
2026-06-19,N1519MH,16424.0,,0.0,108.0,,,15888.0,1985.0,1.0
2026-06-19,N3323MC,17126.0,,0.0,109.0,,,7498.0,839.0,19.0
2026-06-19,N8574MH,16230.0,,0.0,110.0,,,15474.0,1860.0,1.0
2026-06-19,N7476ME,16090.0,,0.0,111.0,,,15252.0,1869.0,1.0
